epoch: 0	train ppl: 139215.9742200208	val ppl: 38902.21038509536	best val: 38902.21038509536	time (s) spent in epoch: 70.49580407142639
epoch: 1	train ppl: 9169.285923731806	val ppl: 1362.2270537958373	best val: 1362.2270537958373	time (s) spent in epoch: 71.06386590003967
epoch: 2	train ppl: 1073.2967001834938	val ppl: 861.4916666595776	best val: 861.4916666595776	time (s) spent in epoch: 70.87541270256042
epoch: 3	train ppl: 623.4174307963192	val ppl: 619.64795684442	best val: 619.64795684442	time (s) spent in epoch: 71.33411574363708
epoch: 4	train ppl: 564.192833440809	val ppl: 473.3145354654262	best val: 473.3145354654262	time (s) spent in epoch: 71.66009855270386
epoch: 5	train ppl: 534.3337376386252	val ppl: 438.55316335141174	best val: 438.55316335141174	time (s) spent in epoch: 70.76038599014282
epoch: 6	train ppl: 452.58636254904854	val ppl: 486.2022144041501	best val: 438.55316335141174	time (s) spent in epoch: 69.95587134361267
epoch: 7	train ppl: 380.9630987804343	val ppl: 424.9790829334423	best val: 424.9790829334423	time (s) spent in epoch: 70.25490140914917
epoch: 8	train ppl: 310.21357431850424	val ppl: 289.0013867681411	best val: 289.0013867681411	time (s) spent in epoch: 71.96058440208435
epoch: 9	train ppl: 266.66304710992574	val ppl: 416.51237427613074	best val: 289.0013867681411	time (s) spent in epoch: 70.63972234725952
epoch: 10	train ppl: 231.3248237123396	val ppl: 240.71931364717557	best val: 240.71931364717557	time (s) spent in epoch: 70.70222806930542
epoch: 11	train ppl: 199.40287147382105	val ppl: 230.78482031287746	best val: 230.78482031287746	time (s) spent in epoch: 70.42517709732056
epoch: 12	train ppl: 172.77185894557388	val ppl: 243.31097560183264	best val: 230.78482031287746	time (s) spent in epoch: 70.73163366317749
epoch: 13	train ppl: 153.9103898904062	val ppl: 225.43454365390798	best val: 225.43454365390798	time (s) spent in epoch: 72.28720688819885
epoch: 14	train ppl: 138.57859402781096	val ppl: 195.71774123804826	best val: 195.71774123804826	time (s) spent in epoch: 71.26128578186035
epoch: 15	train ppl: 122.03102767764354	val ppl: 166.62662455380158	best val: 166.62662455380158	time (s) spent in epoch: 69.28634572029114
epoch: 16	train ppl: 110.24280359243245	val ppl: 181.39154087436668	best val: 166.62662455380158	time (s) spent in epoch: 69.90889477729797
epoch: 17	train ppl: 97.86932376999222	val ppl: 196.62537656465025	best val: 166.62662455380158	time (s) spent in epoch: 69.11422181129456
epoch: 18	train ppl: 86.21572819238342	val ppl: 207.5930604274825	best val: 166.62662455380158	time (s) spent in epoch: 70.05267834663391
epoch: 19	train ppl: 78.81160468408768	val ppl: 176.3086433787038	best val: 166.62662455380158	time (s) spent in epoch: 70.20325994491577
epoch: 20	train ppl: 70.47578138263962	val ppl: 198.3864671043157	best val: 166.62662455380158	time (s) spent in epoch: 70.83589005470276
epoch: 21	train ppl: 63.81462061529941	val ppl: 195.64477430870517	best val: 166.62662455380158	time (s) spent in epoch: 69.89776468276978
epoch: 22	train ppl: 58.034567850333396	val ppl: 208.1214992209707	best val: 166.62662455380158	time (s) spent in epoch: 70.87865281105042
epoch: 23	train ppl: 51.743430866986486	val ppl: 208.45270949702163	best val: 166.62662455380158	time (s) spent in epoch: 70.39918756484985
epoch: 24	train ppl: 48.03264986109881	val ppl: 261.67894372060715	best val: 166.62662455380158	time (s) spent in epoch: 68.47343516349792
epoch: 25	train ppl: 42.36714969490865	val ppl: 262.4341912169677	best val: 166.62662455380158	time (s) spent in epoch: 67.7130241394043
epoch: 26	train ppl: 38.73756669513256	val ppl: 262.037856897955	best val: 166.62662455380158	time (s) spent in epoch: 67.74054002761841
epoch: 27	train ppl: 35.03116588588614	val ppl: 265.34389538709206	best val: 166.62662455380158	time (s) spent in epoch: 67.69506525993347
epoch: 28	train ppl: 32.25445595549458	val ppl: 313.6073438182469	best val: 166.62662455380158	time (s) spent in epoch: 67.74135756492615
epoch: 29	train ppl: 29.510700540777762	val ppl: 351.53127996456044	best val: 166.62662455380158	time (s) spent in epoch: 67.70988440513611
epoch: 30	train ppl: 26.513952393737586	val ppl: 355.1667236063589	best val: 166.62662455380158	time (s) spent in epoch: 67.74153137207031
epoch: 31	train ppl: 24.137235517068074	val ppl: 460.2163756124207	best val: 166.62662455380158	time (s) spent in epoch: 67.73695230484009
epoch: 32	train ppl: 21.61177041560859	val ppl: 510.09899040039284	best val: 166.62662455380158	time (s) spent in epoch: 67.745281457901
epoch: 33	train ppl: 20.983138964285786	val ppl: 500.82811901094084	best val: 166.62662455380158	time (s) spent in epoch: 67.79004311561584
epoch: 34	train ppl: 18.69093966528476	val ppl: 734.9060375596613	best val: 166.62662455380158	time (s) spent in epoch: 67.79442930221558
epoch: 35	train ppl: 17.596780230134847	val ppl: 523.1078457949437	best val: 166.62662455380158	time (s) spent in epoch: 67.71799778938293
epoch: 36	train ppl: 15.80789780790123	val ppl: 668.9302045111161	best val: 166.62662455380158	time (s) spent in epoch: 67.71263003349304
epoch: 37	train ppl: 15.129036074880784	val ppl: 563.0532813033909	best val: 166.62662455380158	time (s) spent in epoch: 67.85347557067871
epoch: 38	train ppl: 13.973994135400872	val ppl: 657.8259927003396	best val: 166.62662455380158	time (s) spent in epoch: 67.48073887825012
epoch: 39	train ppl: 13.054660941618755	val ppl: 777.5916474352109	best val: 166.62662455380158	time (s) spent in epoch: 67.47510981559753
