epoch: 0	train ppl: 804.9856180219823	val ppl: 334.1167477731845	best val: 334.1167477731845	time (s) spent in epoch: 11.717461585998535
epoch: 1	train ppl: 251.50376030165927	val ppl: 204.56150146721	best val: 204.56150146721	time (s) spent in epoch: 11.455400228500366
epoch: 2	train ppl: 172.43745476919466	val ppl: 170.5629786421157	best val: 170.5629786421157	time (s) spent in epoch: 11.427557229995728
epoch: 3	train ppl: 138.59685954863554	val ppl: 152.66468260818914	best val: 152.66468260818914	time (s) spent in epoch: 11.431776285171509
epoch: 4	train ppl: 117.5915454858799	val ppl: 141.62812026914582	best val: 141.62812026914582	time (s) spent in epoch: 11.416849374771118
epoch: 5	train ppl: 102.62335420701989	val ppl: 135.55225207181923	best val: 135.55225207181923	time (s) spent in epoch: 11.420195579528809
epoch: 6	train ppl: 91.1307912826134	val ppl: 131.7824020978251	best val: 131.7824020978251	time (s) spent in epoch: 11.42417597770691
epoch: 7	train ppl: 82.20195465499067	val ppl: 129.22599728542892	best val: 129.22599728542892	time (s) spent in epoch: 11.411212682723999
epoch: 8	train ppl: 75.12961805102965	val ppl: 128.50350712764512	best val: 128.50350712764512	time (s) spent in epoch: 11.423152923583984
epoch: 9	train ppl: 69.29805621330401	val ppl: 128.72726445028735	best val: 128.50350712764512	time (s) spent in epoch: 11.407751321792603
epoch: 10	train ppl: 64.28270080185389	val ppl: 130.30914216819437	best val: 128.50350712764512	time (s) spent in epoch: 11.4112069606781
epoch: 11	train ppl: 60.13681782319393	val ppl: 131.2512860517202	best val: 128.50350712764512	time (s) spent in epoch: 11.431719541549683
epoch: 12	train ppl: 56.5045475744352	val ppl: 133.23919763112255	best val: 128.50350712764512	time (s) spent in epoch: 11.432130575180054
epoch: 13	train ppl: 53.442255936428744	val ppl: 135.07380373579932	best val: 128.50350712764512	time (s) spent in epoch: 11.433590173721313
epoch: 14	train ppl: 50.64513394447764	val ppl: 138.0391063031304	best val: 128.50350712764512	time (s) spent in epoch: 11.401952743530273
epoch: 15	train ppl: 48.297802291807216	val ppl: 140.90144739592438	best val: 128.50350712764512	time (s) spent in epoch: 11.530623197555542
epoch: 16	train ppl: 46.091085782653764	val ppl: 144.15339064085182	best val: 128.50350712764512	time (s) spent in epoch: 11.623794317245483
epoch: 17	train ppl: 44.16928112762615	val ppl: 147.50393018225256	best val: 128.50350712764512	time (s) spent in epoch: 11.70177674293518
epoch: 18	train ppl: 42.485201207971144	val ppl: 150.95879725043844	best val: 128.50350712764512	time (s) spent in epoch: 11.838124752044678
epoch: 19	train ppl: 40.89351183490677	val ppl: 155.03297126513627	best val: 128.50350712764512	time (s) spent in epoch: 11.7828950881958
epoch: 20	train ppl: 39.56883110637022	val ppl: 157.9850514116738	best val: 128.50350712764512	time (s) spent in epoch: 11.819433689117432
epoch: 21	train ppl: 38.23853460901762	val ppl: 162.34056916261653	best val: 128.50350712764512	time (s) spent in epoch: 11.759928941726685
epoch: 22	train ppl: 37.031277180266166	val ppl: 165.95890075839708	best val: 128.50350712764512	time (s) spent in epoch: 11.829525709152222
epoch: 23	train ppl: 36.02331255877692	val ppl: 168.93165921936253	best val: 128.50350712764512	time (s) spent in epoch: 11.699056148529053
epoch: 24	train ppl: 35.03148187848122	val ppl: 173.02511891111985	best val: 128.50350712764512	time (s) spent in epoch: 11.669342756271362
epoch: 25	train ppl: 34.14895043630048	val ppl: 177.01099228557953	best val: 128.50350712764512	time (s) spent in epoch: 11.758194923400879
epoch: 26	train ppl: 33.30233613767873	val ppl: 181.5241417203776	best val: 128.50350712764512	time (s) spent in epoch: 11.477568626403809
epoch: 27	train ppl: 32.57548295127406	val ppl: 185.3787156268245	best val: 128.50350712764512	time (s) spent in epoch: 11.49834156036377
epoch: 28	train ppl: 31.865713819196515	val ppl: 189.21294475122534	best val: 128.50350712764512	time (s) spent in epoch: 11.87494421005249
epoch: 29	train ppl: 31.2652899672884	val ppl: 193.42715514260084	best val: 128.50350712764512	time (s) spent in epoch: 11.648522138595581
epoch: 30	train ppl: 30.69937966020035	val ppl: 197.40043528431312	best val: 128.50350712764512	time (s) spent in epoch: 11.839758157730103
epoch: 31	train ppl: 30.04754501778872	val ppl: 201.12360573663412	best val: 128.50350712764512	time (s) spent in epoch: 11.589005947113037
epoch: 32	train ppl: 29.545109353906852	val ppl: 205.43280932587157	best val: 128.50350712764512	time (s) spent in epoch: 11.772454500198364
epoch: 33	train ppl: 29.04850944537353	val ppl: 209.51025677040394	best val: 128.50350712764512	time (s) spent in epoch: 11.69300127029419
epoch: 34	train ppl: 28.597072404377972	val ppl: 212.6508133118522	best val: 128.50350712764512	time (s) spent in epoch: 11.502010345458984
epoch: 35	train ppl: 28.153294318181583	val ppl: 216.75024255009816	best val: 128.50350712764512	time (s) spent in epoch: 11.496678590774536
epoch: 36	train ppl: 27.688532465101797	val ppl: 221.63355277746209	best val: 128.50350712764512	time (s) spent in epoch: 11.599373579025269
epoch: 37	train ppl: 27.317361993663923	val ppl: 223.76584837979817	best val: 128.50350712764512	time (s) spent in epoch: 11.537359714508057
epoch: 38	train ppl: 26.913487361719305	val ppl: 227.89991423954012	best val: 128.50350712764512	time (s) spent in epoch: 11.472461223602295
epoch: 39	train ppl: 26.58394560944814	val ppl: 232.60621504020753	best val: 128.50350712764512	time (s) spent in epoch: 11.454405307769775
