epoch: 0	train ppl: 5545.192837736518	val ppl: 1609.9969133199445	best val: 1609.9969133199445	time (s) spent in epoch: 250.5565721988678
epoch: 1	train ppl: 2231.815434527582	val ppl: 1222.6453017354804	best val: 1222.6453017354804	time (s) spent in epoch: 250.41661095619202
epoch: 2	train ppl: 1937.2049290021885	val ppl: 1247.4036368891436	best val: 1222.6453017354804	time (s) spent in epoch: 249.29959511756897
epoch: 3	train ppl: 2203.2240952961106	val ppl: 27160.864363004614	best val: 1222.6453017354804	time (s) spent in epoch: 249.7754511833191
epoch: 4	train ppl: 2016.7796311966695	val ppl: 2481.8786612339827	best val: 1222.6453017354804	time (s) spent in epoch: 248.11697554588318
epoch: 5	train ppl: 1873.433719417775	val ppl: 1073.7163746111491	best val: 1073.7163746111491	time (s) spent in epoch: 249.70047664642334
epoch: 6	train ppl: 1803.7871000664225	val ppl: 1752.3820724542218	best val: 1073.7163746111491	time (s) spent in epoch: 249.1798665523529
epoch: 7	train ppl: 1765.6148659489206	val ppl: 1204.0476072304823	best val: 1073.7163746111491	time (s) spent in epoch: 250.0708191394806
epoch: 8	train ppl: 1729.4652600242252	val ppl: 1221.092149595402	best val: 1073.7163746111491	time (s) spent in epoch: 248.8869194984436
epoch: 9	train ppl: 1704.1939065388685	val ppl: 954.1715202856961	best val: 954.1715202856961	time (s) spent in epoch: 251.6957995891571
epoch: 10	train ppl: 1685.3182216363657	val ppl: 980.801616476779	best val: 954.1715202856961	time (s) spent in epoch: 253.19831013679504
epoch: 11	train ppl: 1677.6747099639456	val ppl: 989.0412005276282	best val: 954.1715202856961	time (s) spent in epoch: 250.02959823608398
epoch: 12	train ppl: 1663.3844560821972	val ppl: 1132.6619429381828	best val: 954.1715202856961	time (s) spent in epoch: 247.35122895240784
epoch: 13	train ppl: 1668.0617541830986	val ppl: 919.2179097827452	best val: 919.2179097827452	time (s) spent in epoch: 250.1403739452362
epoch: 14	train ppl: 1672.152588005967	val ppl: 1344.1208916615287	best val: 919.2179097827452	time (s) spent in epoch: 249.7188618183136
epoch: 15	train ppl: 1506.1474338581963	val ppl: 965.0284212404264	best val: 919.2179097827452	time (s) spent in epoch: 250.68315434455872
epoch: 16	train ppl: 1267.1602271769734	val ppl: 894.2296105648817	best val: 894.2296105648817	time (s) spent in epoch: 249.98522472381592
epoch: 17	train ppl: 1046.9642103950146	val ppl: 851.519305917601	best val: 851.519305917601	time (s) spent in epoch: 250.6171748638153
epoch: 18	train ppl: 922.7779343066827	val ppl: 810.8711683657899	best val: 810.8711683657899	time (s) spent in epoch: 250.91905641555786
epoch: 19	train ppl: 853.7634715013638	val ppl: 785.875134478083	best val: 785.875134478083	time (s) spent in epoch: 249.66047477722168
epoch: 20	train ppl: 821.4580210210205	val ppl: 764.4466166557831	best val: 764.4466166557831	time (s) spent in epoch: 249.79245162010193
epoch: 21	train ppl: 805.038101546587	val ppl: 758.4224516548178	best val: 758.4224516548178	time (s) spent in epoch: 250.40770292282104
epoch: 22	train ppl: 799.2201717714785	val ppl: 753.2023880622394	best val: 753.2023880622394	time (s) spent in epoch: 251.7338035106659
epoch: 23	train ppl: 797.9487711833631	val ppl: 752.1050837910495	best val: 752.1050837910495	time (s) spent in epoch: 249.0833442211151
epoch: 24	train ppl: 797.1710994155545	val ppl: 751.6682920742177	best val: 751.6682920742177	time (s) spent in epoch: 249.05866050720215
epoch: 25	train ppl: 796.6532144617476	val ppl: 751.597495104736	best val: 751.597495104736	time (s) spent in epoch: 248.8172550201416
epoch: 26	train ppl: 795.7505347768517	val ppl: 751.3452662088275	best val: 751.3452662088275	time (s) spent in epoch: 249.99236822128296
epoch: 27	train ppl: 795.9407348093946	val ppl: 752.1434583566449	best val: 751.3452662088275	time (s) spent in epoch: 251.27451062202454
epoch: 28	train ppl: 796.7346821007411	val ppl: 751.4645793719952	best val: 751.3452662088275	time (s) spent in epoch: 250.61017870903015
epoch: 29	train ppl: 796.2829627822605	val ppl: 751.5089508174101	best val: 751.3452662088275	time (s) spent in epoch: 250.435311794281
epoch: 30	train ppl: 796.3915587102738	val ppl: 752.2506204589879	best val: 751.3452662088275	time (s) spent in epoch: 247.4601926803589
epoch: 31	train ppl: 796.4493879934234	val ppl: 752.2375591755196	best val: 751.3452662088275	time (s) spent in epoch: 248.32991075515747
epoch: 32	train ppl: 796.5921677022557	val ppl: 752.2375591755196	best val: 751.3452662088275	time (s) spent in epoch: 249.6314675807953
epoch: 33	train ppl: 796.6852845095923	val ppl: 752.2375591755196	best val: 751.3452662088275	time (s) spent in epoch: 249.0686776638031
epoch: 34	train ppl: 796.5920531926511	val ppl: 752.2375591755196	best val: 751.3452662088275	time (s) spent in epoch: 249.93538403511047
epoch: 35	train ppl: 795.8873572994747	val ppl: 752.2375591755196	best val: 751.3452662088275	time (s) spent in epoch: 249.63393592834473
epoch: 36	train ppl: 797.0055191642833	val ppl: 752.2375591755196	best val: 751.3452662088275	time (s) spent in epoch: 246.86837720870972
epoch: 37	train ppl: 796.8301879299389	val ppl: 752.2375591755196	best val: 751.3452662088275	time (s) spent in epoch: 247.74211192131042
epoch: 38	train ppl: 796.6154962694143	val ppl: 752.2375591755196	best val: 751.3452662088275	time (s) spent in epoch: 249.5005602836609
epoch: 39	train ppl: 797.6862430410492	val ppl: 752.2375591755196	best val: 751.3452662088275	time (s) spent in epoch: 249.17181968688965
